year,month,rw,female,wbho,married,age,age_dec
2019,3,15,1,0,1,44,4.4
2019,3,40,0,0,1,45,4.5
2019,3,18.25,0,0,0,31,3.1
2019,3,12.975000381469727,0,0,1,30,3
2019,3,NA,1,0,1,30,3
2019,3,42,0,0,0,62,6.2
2019,3,NA,1,0,0,62,6.2
2019,3,32,0,0,0,26,2.6
2019,3,19.225000381469727,0,0,0,60,6
2019,3,50,0,0,0,34,3.4
2019,3,19,1,0,0,24,2.4
2019,3,25.899999618530273,0,0,0,19,1.9
2019,3,34.125,0,0,1,52,5.2
2019,3,NA,1,0,1,50,5
2019,3,NA,1,0,0,17,1.7
2019,3,23,1,0,1,50,5
2019,3,27,0,0,1,50,5
2019,3,14.5,0,0,0,20,2
2019,3,13.699999809265137,1,0,0,20,2
2019,3,43.41999816894531,0,0,1,47,4.7
2019,3,45,1,0,1,43,4.3
2019,3,NA,0,0,1,57,5.7
2019,3,36,1,0,0,57,5.7
2019,3,NA,1,0,0,17,1.7
2019,3,NA,0,0,0,48,4.8
2019,3,21,1,1,0,34,3.4
2019,3,10,1,1,0,17,1.7
2019,3,86.133331298828125,1,0,1,46,4.6
2019,3,26,0,0,1,47,4.7
2019,3,82.5999984741211,0,0,1,41,4.1
2019,3,NA,1,0,1,41,4.1
2019,3,33.653751373291016,1,0,1,64,6.4
2019,3,32.20000076293945,0,0,0,45,4.5
2019,3,NA,0,0,1,59,5.9
2019,3,36.538333892822266,1,0,1,58,5.8
2019,3,NA,1,0,0,22,2.2
2019,3,16,1,0,1,30,3
2019,3,20,0,0,1,35,3.5
2019,3,33.653751373291016,1,0,1,33,3.3
2019,3,16,0,0,1,34,3.4
2019,3,18.58966636657715,1,0,1,64,6.4
2019,3,25,0,0,0,26,2.6
2019,3,12.75,1,0,0,24,2.4
2019,3,43.75,0,0,1,46,4.6
2019,3,28.825000762939453,1,0,1,44,4.4
2019,3,30.64638328552246,1,0,0,47,4.7
2019,3,34.599998474121094,1,0,0,53,5.3
2019,3,72.12000274658203,0,1,1,36,3.6
2019,3,NA,0,0,0,63,6.3
2019,3,23.075000762939453,1,0,1,38,3.8
2019,3,59.599998474121094,0,0,1,39,3.9
2019,3,18,0,0,1,63,6.3
2019,3,10,1,0,1,62,6.2
2019,3,20.5,1,1,1,48,4.8
2019,3,44.230751037597656,0,0,1,59,5.9
2019,3,NA,0,0,1,60,6
2019,3,23,1,0,0,35,3.5
2019,3,NA,1,0,0,47,4.7
2019,3,10,1,0,0,62,6.2
2019,3,44,1,0,1,53,5.3
2019,3,34.599998474121094,1,1,0,54,5.4
2019,3,15,0,0,0,32,3.2
2019,3,51.91999816894531,0,0,1,55,5.5
2019,3,16.639999389648438,1,0,1,54,5.4
2019,3,NA,0,0,1,48,4.8
2019,3,44,1,0,1,45,4.5
2019,3,NA,1,0,0,40,4
2019,3,10.75,0,0,0,35,3.5
2019,3,29.914445877075195,1,0,0,57,5.7
2019,3,20,0,0,1,48,4.8
2019,3,43.26900100708008,1,0,1,49,4.9
2019,3,NA,1,0,0,17,1.7
2019,3,17.482364654541016,0,0,0,34,3.4
2019,3,NA,1,0,0,33,3.3
2019,3,NA,0,0,1,57,5.7
2019,3,NA,1,0,1,54,5.4
2019,3,11.5,0,0,0,31,3.1
2019,3,NA,1,0,0,26,2.6
2019,3,NA,1,0,0,56,5.6
2019,3,34.61524963378906,0,0,0,35,3.5
2019,3,14.289999961853027,1,0,0,37,3.7
2019,3,14.260000228881836,1,0,0,64,6.4
2019,3,8,0,0,0,40,4
2019,3,10,1,0,1,35,3.5
2019,3,8.5,0,0,1,33,3.3
2019,3,48.07674789428711,0,0,0,41,4.1
2019,3,28,1,0,0,39,3.9
2019,3,29.8075008392334,0,0,1,34,3.4
2019,3,30,1,0,1,33,3.3
2019,3,NA,0,0,1,46,4.6
2019,3,21.63450050354004,1,0,1,48,4.8
2019,3,10,1,0,0,16,1.6
2019,3,10,1,0,0,17,1.7
2019,3,27.350221633911133,0,0,0,58,5.8
2019,3,24.038249969482422,0,0,0,52,5.2
2019,3,19.230600357055664,0,0,0,51,5.1
2019,3,44.900001525878906,0,0,1,43,4.3
2019,3,34.61524963378906,1,0,1,45,4.5
2019,3,NA,1,0,0,62,6.2
2019,3,17.5,0,0,1,35,3.5
2019,3,5,1,0,1,29,2.9
2019,3,10.060606002807617,1,0,1,25,2.5
2019,3,13,0,0,1,27,2.7
2019,3,25,0,0,0,46,4.6
2019,3,9,0,0,0,45,4.5
2019,3,22,1,0,0,44,4.4
2019,3,NA,1,0,0,38,3.8
2019,3,NA,0,0,0,47,4.7
2019,3,25,1,0,0,46,4.6
2019,3,NA,0,0,0,46,4.6
2019,3,16.420000076293945,0,0,0,44,4.4
2019,3,43.25,0,0,0,60,6
2019,3,41.95800018310547,0,0,1,39,3.9
2019,3,NA,1,0,1,38,3.8
2019,3,48.07674789428711,0,0,0,36,3.6
